"sg_ue";"nr_candidato";"nm_urna_candidato";"sg_partido";"ds_composicao_coligacao";"ds_situacao";"qt_votos_candidato";"pr_votos_candidato";"cd_eleicao";"sg_abrangencia";"turno";"cd_cargo";"qt_sessoes";"qt_sessoes_t";"qt_sessoes_nt";"qt_sessoes_i";"qt_sessoes_ni";"qt_sessoes_apuradas";"qt_sessoes_nao_apuradas";"qt_eleitores";"qt_eleitores_aptos";"qt_eleitores_nao_aptos";"qt_eleitores_si";"qt_eleitores_sni";"qt_eleitores_compareceram";"qt_abstencoes";"vscv";"qt_votos_nominais";"qt_votos_computados";"qt_votos_brancos";"qt_votos_nulos";"qt_votos_nulos_vn";"qt_votos_nulos_vnt";"qt_votos_vp";"qt_votos_validos";"qt_votos_an";"qt_votos_anulados_sob_judice";"qt_votos_total"
1007;77;"MISSIONÁRIA FABRÍCIA";"SOLIDARIEDADE";"SOLIDARIEDADE";"Não eleito";431;6,11;426;"MUNICIPAL";1;11;25;25;0;25;0;25;0;9613;9613;0;9613;0;7387;2226;0;7051;7051;79;257;257;0;0;7051;0;0;7387
1007;12;"PADEIRO";"PDT";"PDT - MDB / PC do B / PDT / DEM";"Eleito";3386;48,02;426;"MUNICIPAL";1;11;25;25;0;25;0;25;0;9613;9613;0;9613;0;7387;2226;0;7051;7051;79;257;257;0;0;7051;0;0;7387
1007;40;"JACARÉ";"PSB";"PSB - PSD / PSB";"Não eleito";735;10,42;426;"MUNICIPAL";1;11;25;25;0;25;0;25;0;9613;9613;0;9613;0;7387;2226;0;7051;7051;79;257;257;0;0;7051;0;0;7387
1007;13;"ORLANDO DINIZ";"PT";"PT - PT / PL";"Não eleito";188;2,67;426;"MUNICIPAL";1;11;25;25;0;25;0;25;0;9613;9613;0;9613;0;7387;2226;0;7051;7051;79;257;257;0;0;7051;0;0;7387
1007;11;"ROMUALDO ARAÚJO";"PP";"PP - PSDB / PROS / REPUBLICANOS / PATRIOTA / AVANTE / PP";"Não eleito";2311;32,78;426;"MUNICIPAL";1;11;25;25;0;25;0;25;0;9613;9613;0;9613;0;7387;2226;0;7051;7051;79;257;257;0;0;7051;0;0;7387
1015;13;"SERRARIA";"PT";"PT - PT / PSD";"Não eleito";1228;20,82;426;"MUNICIPAL";1;11;30;30;0;30;0;30;0;7540;7540;0;7540;0;6108;1432;0;5897;5897;43;168;168;0;0;5897;0;0;6108
1015;25;"MANOEL MAIA";"DEM";"DEM - DEM / SOLIDARIEDADE / PSDB / PROS / PP";"Eleito";2627;44,55;426;"MUNICIPAL";1;11;30;30;0;30;0;30;0;7540;7540;0;7540;0;6108;1432;0;5897;5897;43;168;168;0;0;5897;0;0;6108
1015;14;"ENFERMEIRO LAMARTINE";"PTB";"PTB - PTB / DC";"Não eleito";724;12,28;426;"MUNICIPAL";1;11;30;30;0;30;0;30;0;7540;7540;0;7540;0;6108;1432;0;5897;5897;43;168;168;0;0;5897;0;0;6108
1015;15;"JOÃOZINHO";"MDB";"MDB - REPUBLICANOS / PL / PDT / MDB";"Não eleito";1318;22,35;426;"MUNICIPAL";1;11;30;30;0;30;0;30;0;7540;7540;0;7540;0;6108;1432;0;5897;5897;43;168;168;0;0;5897;0;0;6108
1023;17;"BALAL GOMES";"PSL";"PSL";"Não eleito";169;1,77;426;"MUNICIPAL";1;11;47;47;0;47;0;47;0;12639;12639;0;12639;0;10026;2613;0;9531;9531;137;358;358;0;0;9531;0;0;10026
