"seq";"sq_candidato";"sg_ue";"nr_candidato";"nm_urna_candidato";"sg_partido";"ds_composicao_coligacao";"ds_situacao";"qt_votos_candidato";"pr_votos_candidato";"cd_eleicao";"sg_abrangencia";"turno";"cd_cargo";"qt_sessoes";"qt_sessoes_t";"qt_sessoes_nt";"qt_sessoes_i";"qt_sessoes_ni";"qt_sessoes_apuradas";"qt_sessoes_nao_apuradas";"qt_eleitores";"qt_eleitores_aptos";"qt_eleitores_nao_aptos";"qt_eleitores_si";"qt_eleitores_sni";"qt_eleitores_compareceram";"qt_abstencoes";"vscv";"qt_votos_nominais";"qt_votos_computados";"qt_votos_brancos";"qt_votos_nulos";"qt_votos_nulos_vn";"qt_votos_nulos_vnt";"qt_votos_vp";"qt_votos_validos";"qt_votos_an";"qt_votos_anulados_sob_judice";"qt_votos_total"
"2";"250001117769";63770;55;"TAKA YAMAUCHI";"PSD";"PSD - PTB / PSD / REDE / MDB";"Não eleito";101231;48,65;427;"MUNICIPAL";"2";"11";807;807;0;807;0;807;0;329171;329171;0;329171;0;233234;95937;"0";208080;208080;7859;17295;17295;0;0;208080;0;0;233234
"1";"250000769687";63770;13;"FILIPPI";"PT";"PT - SOLIDARIEDADE / PL / PT / AVANTE / PATRIOTA";"Eleito";106849;51,35;427;"MUNICIPAL";"2";"11";807;807;0;807;0;807;0;329171;329171;0;329171;0;233234;95937;"0";208080;208080;7859;17295;17295;0;0;208080;0;0;233234
"1";"210000668382";88013;15;"SEBASTIÃO MELO";"MDB";"MDB - MDB / DEM / CIDADANIA / SOLIDARIEDADE / DC / PRTB / PTC";"Eleito";370550;54,63;427;"MUNICIPAL";"2";"11";2629;2629;0;2629;0;2629;0;1082726;1082726;0;1082726;0;728034;354692;"0";678295;678295;20938;28801;28801;0;0;678295;0;0;728034
"2";"210000729170";88013;65;"MANUELA";"PC do B";"PC do B - PC do B / PT";"Não eleito";307745;45,37;427;"MUNICIPAL";"2";"11";2629;2629;0;2629;0;2629;0;1082726;1082726;0;1082726;0;728034;354692;"0";678295;678295;20938;28801;28801;0;0;678295;0;0;728034
"1";"190001254499";58777;40;"RUBENS BOMTEMPO";"PSB";"PSB - PSB / SOLIDARIEDADE / PROS";"Não eleito";64907;55,18;427;"MUNICIPAL";"2";"11";649;649;0;649;0;649;0;240152;240152;0;240152;0;154531;85621;"0";52727;117634;9058;27839;27839;0;0;52727;0;64907;154531
"2";"190001104235";58777;22;"BERNARDO ROSSI";"PL";"PL - PL / PTB / DEM / MDB / DC";"Não eleito";52727;44,82;427;"MUNICIPAL";"2";"11";649;649;0;649;0;649;0;240152;240152;0;240152;0;154531;85621;"0";52727;117634;9058;27839;27839;0;0;52727;0;64907;154531
"2";"250000746936";71072;50;"GUILHERME BOULOS";"PSOL";"PSOL - PCB / PSOL / UP";"Não eleito";2168109;40,62;427;"MUNICIPAL";"2";"11";22399;22399;0;22399;0;22399;0;8986687;8986687;0;8986687;0;6217508;2769179;"0";5337230;5337230;273216;607062;607062;0;0;5337230;0;0;6217508
"1";"250000896546";71072;45;"BRUNO COVAS";"PSDB";"PSDB - PP / MDB / PODE / PSC / PL / CIDADANIA / DEM / PTC / PV / PSDB / PROS";"Eleito";3169121;59,38;427;"MUNICIPAL";"2";"11";22399;22399;0;22399;0;22399;0;8986687;8986687;0;8986687;0;6217508;2769179;"0";5337230;5337230;273216;607062;607062;0;0;5337230;0;0;6217508
"2";"250000769104";66893;40;"ATILA";"PSB";"PSB - PL / PATRIOTA / PC do B / PSB / AVANTE / SOLIDARIEDADE";"Não eleito";88783;49,26;427;"MUNICIPAL";"2";"11";764;764;0;764;0;764;0;306518;306518;0;306518;0;219897;86621;"0";180242;180242;11092;28563;28563;0;0;180242;0;0;219897
"1";"250000831198";66893;13;"MARCELO OLIVEIRA";"PT";"PT";"Eleito";91459;50,74;427;"MUNICIPAL";"2";"11";764;764;0;764;0;764;0;306518;306518;0;306518;0;219897;86621;"0";180242;180242;11092;28563;28563;0;0;180242;0;0;219897
